公, neg=11, pos=10
六, neg=3, pos=1
慰, neg=5, pos=5
腰, neg=2, pos=1
共, neg=3, pos=1
关, neg=28, pos=6
兵, neg=4, pos=1
慵, neg=2, pos=1
其, neg=9, pos=4
酶, neg=2, pos=1
酷, neg=12, pos=1
具, neg=2, pos=2
酸, neg=13, pos=1
腹, neg=6, pos=1
腺, neg=4, pos=1
腻, neg=3, pos=3
养, neg=6, pos=8
兽, neg=9, pos=1
煽, neg=4, pos=1
腾, neg=2, pos=6
冀, neg=2, pos=2
内, neg=9, pos=3
醉, neg=8, pos=9
醋, neg=2, pos=1
憋, neg=3, pos=1
再, neg=5, pos=1
憎, neg=11, pos=1
冒, neg=23, pos=1
醒, neg=2, pos=1
憔, neg=4, pos=1
冕, neg=2, pos=2
冗, neg=9, pos=1
军, neg=4, pos=4
冠, neg=4, pos=5
冤, neg=3, pos=1
膨, neg=2, pos=1
醮, neg=2, pos=1
冰, neg=3, pos=1
冲, neg=35, pos=5
决, neg=19, pos=14
况, neg=4, pos=1
冷, neg=38, pos=4
膺, neg=3, pos=1
醺, neg=3, pos=1
冻, neg=2, pos=1
憾, neg=7, pos=1
净, neg=5, pos=4
懂, neg=6, pos=7
燃, neg=2, pos=1
凄, neg=11, pos=1
准, neg=11, pos=7
采, neg=5, pos=6
懈, neg=2, pos=5
凉, neg=8, pos=6
释, neg=5, pos=2
臊, neg=2, pos=1
懊, neg=5, pos=1
凋, neg=4, pos=1
凌, neg=9, pos=1
里, neg=11, pos=1
重, neg=55, pos=35
野, neg=16, pos=1
量, neg=13, pos=10
减, neg=15, pos=2
金, neg=5, pos=3
凑, neg=2, pos=1
懑, neg=2, pos=1
懒, neg=17, pos=1
凝, neg=2, pos=4
几, neg=2, pos=1
凡, neg=3, pos=8
燥, neg=7, pos=1
懦, neg=4, pos=1
自, neg=97, pos=38
臭, neg=37, pos=1
凭, neg=2, pos=1
凶, neg=22, pos=1
凹, neg=8, pos=1
出, neg=88, pos=20
击, neg=58, pos=3
刀, neg=8, pos=1
刁, neg=4, pos=1
刃, neg=2, pos=1
爆, neg=15, pos=1
分, neg=37, pos=9
切, neg=17, pos=16
戈, neg=6, pos=1
舌, neg=2, pos=1
戏, neg=4, pos=3
成, neg=47, pos=32
刑, neg=7, pos=1
我, neg=38, pos=2
舒, neg=7, pos=8
划, neg=2, pos=1
戒, neg=3, pos=2
舔, neg=2, pos=1
或, neg=8, pos=1
战, neg=33, pos=4
则, neg=4, pos=2
刚, neg=3, pos=3
戚, neg=2, pos=3
舞, neg=2, pos=6
删, neg=3, pos=1
判, neg=9, pos=4
利, neg=37, pos=27
截, neg=3, pos=2
别, neg=18, pos=6
般, neg=10, pos=2
戮, neg=3, pos=1
刮, neg=6, pos=1
到, neg=65, pos=11
制, neg=39, pos=8
户, neg=2, pos=1
爸, neg=3, pos=1
船, neg=4, pos=1
刺, neg=39, pos=3
刻, neg=11, pos=5
爽, neg=3, pos=6
戾, neg=3, pos=1
所, neg=9, pos=2
扁, neg=6, pos=1
剂, neg=3, pos=2
片, neg=3, pos=1
剉, neg=2, pos=1
削, neg=6, pos=1
手, neg=31, pos=6
牌, neg=3, pos=1
剌, neg=3, pos=1
前, neg=10, pos=3
扎, neg=2, pos=1
扑, neg=2, pos=1
牒, neg=3, pos=1
打, neg=83, pos=5
剔, neg=7, pos=3
扔, neg=2, pos=1
托, neg=8, pos=1
牙, neg=10, pos=1
牛, neg=8, pos=1
牢, neg=11, pos=4
扣, neg=5, pos=1
剥, neg=5, pos=1
剧, neg=16, pos=3
执, neg=11, pos=1
物, neg=61, pos=8
剩, neg=3, pos=1
扫, neg=2, pos=1
扭, neg=10, pos=1
扮, neg=2, pos=1
扯, neg=10, pos=1
扰, neg=17, pos=1
艰, neg=10, pos=1
色, neg=12, pos=6
割, neg=10, pos=1
牲, neg=3, pos=2
牵, neg=5, pos=1
批, neg=16, pos=3
艺, neg=2, pos=6
扼, neg=6, pos=1
剽, neg=2, pos=1
找, neg=7, pos=1
艾, neg=2, pos=1
承, neg=9, pos=3
犀, neg=2, pos=2
节, neg=6, pos=9
抄, neg=4, pos=1
劈, neg=6, pos=1
把, neg=17, pos=6
抑, neg=13, pos=1
抓, neg=7, pos=1
投, neg=12, pos=2
抖, neg=5, pos=1
抗, neg=18, pos=1
折, neg=16, pos=1
抚, neg=2, pos=2
抛, neg=4, pos=1
芜, neg=4, pos=1
劝, neg=3, pos=1
办, neg=7, pos=4
功, neg=14, pos=8
加, neg=26, pos=4
抠, neg=2, pos=1
务, neg=9, pos=5
抢, neg=7, pos=1
劣, neg=27, pos=1
护, neg=4, pos=3
报, neg=23, pos=5
动, neg=80, pos=12
抨, neg=6, pos=1
劫, neg=6, pos=1
犬, neg=3, pos=1
芭, neg=2, pos=1
犯, neg=30, pos=3
花, neg=11, pos=2
抱, neg=10, pos=1
劲, neg=5, pos=6
劳, neg=9, pos=5
抵, neg=7, pos=1
状, neg=13, pos=3
抹, neg=4, pos=1
犹, neg=3, pos=3
押, neg=6, pos=1
抽, neg=8, pos=1
劾, neg=2, pos=1
势, neg=5, pos=4
狂, neg=39, pos=15
担, neg=10, pos=3
拆, neg=5, pos=1
狈, neg=4, pos=1
拉, neg=14, pos=1
勉, neg=4, pos=4
拍, neg=9, pos=1
苍, neg=2, pos=1
拎, neg=3, pos=1
拐, neg=4, pos=1
拒, neg=15, pos=1
勒, neg=10, pos=2
拖, neg=12, pos=1
拗, neg=5, pos=1
狗, neg=23, pos=1
拘, neg=7, pos=3
勘, neg=2, pos=1
拙, neg=6, pos=1
招, neg=8, pos=4
苛, neg=4, pos=1
拜, neg=3, pos=5
狞, neg=2, pos=1
苟, neg=3, pos=1
狠, neg=19, pos=1
狡, neg=10, pos=1
拢, neg=2, pos=1
勤, neg=3, pos=8
拥, neg=5, pos=5
苦, neg=59, pos=9
拦, neg=2, pos=1
拨, neg=4, pos=1
狩, neg=2, pos=1
择, neg=3, pos=1
独, neg=15, pos=12
狭, neg=9, pos=1
狮, neg=2, pos=1
狰, neg=2, pos=1
狱, neg=14, pos=1
拳, neg=9, pos=1
拷, neg=3, pos=1
狼, neg=10, pos=1
拼, neg=4, pos=1
勾, neg=8, pos=1
拾, neg=2, pos=1
匀, neg=3, pos=4
持, neg=10, pos=6
挂, neg=3, pos=1
包, neg=3, pos=1
匆, neg=9, pos=1
指, neg=8, pos=5
按, neg=2, pos=1
猎, neg=3, pos=2
挑, neg=16, pos=3
匕, neg=2, pos=1
化, neg=18, pos=3
挖, neg=10, pos=1
猖, neg=5, pos=1
北, neg=3, pos=1
猛, neg=31, pos=2
挛, neg=3, pos=1
猜, neg=3, pos=1
挟, neg=2, pos=1
挡, neg=2, pos=1
挣, neg=2, pos=1
挤, neg=13, pos=1
挥, neg=8, pos=1
猥, neg=4, pos=1
挨, neg=4, pos=1
匪, neg=4, pos=1
猪, neg=12, pos=1
挫, neg=10, pos=1
茫, neg=6, pos=1
猫, neg=2, pos=1
献, neg=2, pos=3
匮, neg=2, pos=1
振, neg=3, pos=2
猴, neg=3, pos=1
匹, neg=2, pos=1
区, neg=3, pos=1
医, neg=3, pos=2
挽, neg=2, pos=1
猾, neg=5, pos=1
十, neg=3, pos=1
千, neg=3, pos=1
捆, neg=3, pos=1
捉, neg=12, pos=1
草, neg=11, pos=1
半, neg=5, pos=1
华, neg=5, pos=6
协, neg=4, pos=6
捏, neg=4, pos=1
卑, neg=23, pos=4
卒, neg=5, pos=1
荒, neg=24, pos=1
单, neg=8, pos=1
捕, neg=12, pos=1
卖, neg=13, pos=1
獗, neg=4, pos=1
博, neg=2, pos=5
损, neg=33, pos=1
占, neg=13, pos=1
卡, neg=3, pos=1
荡, neg=15, pos=2
捣, neg=6, pos=1
捧, neg=2, pos=1
卧, neg=2, pos=1
卫, neg=3, pos=7
据, neg=3, pos=3
药, neg=4, pos=1
印, neg=2, pos=2
危, neg=29, pos=1
却, neg=5, pos=1
捶, neg=2, pos=1
荷, neg=3, pos=1
卷, neg=2, pos=1
卸, neg=2, pos=1
厄, neg=2, pos=1
率, neg=14, pos=12
掉, neg=29, pos=1
厉, neg=8, pos=1
玉, neg=3, pos=1
压, neg=37, pos=1
王, neg=4, pos=1
掌, neg=7, pos=5
厌, neg=44, pos=1
排, neg=3, pos=1
掖, neg=2, pos=1
掘, neg=4, pos=1
厚, neg=13, pos=4
原, neg=6, pos=2
掠, neg=4, pos=1
探, neg=3, pos=1
厢, neg=2, pos=1
接, neg=7, pos=7
厥, neg=2, pos=1
控, neg=13, pos=3
推, neg=7, pos=3
玩, neg=13, pos=1
掩, neg=5, pos=1
措, neg=7, pos=1
莫, neg=7, pos=1
环, neg=3, pos=1
现, neg=9, pos=7
掰, neg=2, pos=1
掴, neg=4, pos=1
掷, neg=2, pos=1
玷, neg=3, pos=1
掺, neg=4, pos=1
去, neg=59, pos=3
玻, neg=2, pos=1
莽, neg=4, pos=1
参, neg=4, pos=2
揄, neg=4, pos=1
菅, neg=3, pos=1
又, neg=2, pos=1
叉, neg=2, pos=1
揉, neg=4, pos=1
及, neg=8, pos=2
菌, neg=3, pos=1
双, neg=2, pos=1
反, neg=81, pos=2
揍, neg=3, pos=1
提, neg=12, pos=3
发, neg=91, pos=19
插, neg=2, pos=1
取, neg=21, pos=8
受, neg=83, pos=19
变, neg=78, pos=6
叛, neg=14, pos=1
菜, neg=2, pos=1
珠, neg=3, pos=1
握, neg=4, pos=7
口, neg=25, pos=4
古, neg=6, pos=5
叨, neg=13, pos=1
叫, neg=28, pos=2
班, neg=2, pos=1
揭, neg=3, pos=1
叮, neg=2, pos=2
可, neg=115, pos=85
台, neg=5, pos=1
叱, neg=2, pos=1
右, neg=2, pos=1
援, neg=3, pos=2
揶, neg=4, pos=1
号, neg=3, pos=1
叹, neg=18, pos=3
叽, neg=2, pos=1
搀, neg=3, pos=2
搁, neg=3, pos=1
吃, neg=31, pos=7
球, neg=4, pos=1
搅, neg=3, pos=1
琅, neg=2, pos=1
吉, neg=4, pos=5
吊, neg=9, pos=1
萌, neg=2, pos=1
名, neg=20, pos=11
萎, neg=6, pos=1
搏, neg=3, pos=1
搐, neg=2, pos=1
吐, neg=13, pos=2
琐, neg=5, pos=1
向, neg=11, pos=5
吓, neg=20, pos=1
吗, neg=3, pos=1
君, neg=3, pos=1
搜, neg=4, pos=1
吝, neg=6, pos=1
吞, neg=11, pos=1
搞, neg=54, pos=1
吟, neg=4, pos=1
吠, neg=4, pos=1
否, neg=9, pos=3
萧, neg=3, pos=1
吧, neg=5, pos=1
搪, neg=3, pos=1
含, neg=19, pos=9
听, neg=11, pos=2
搭, neg=2, pos=1
吵, neg=28, pos=1
吸, neg=4, pos=8
吹, neg=15, pos=1
吼, neg=9, pos=1
落, neg=51, pos=1
吾, neg=2, pos=1
呀, neg=3, pos=1
呆, neg=17, pos=1
摆, neg=7, pos=1
摇, neg=12, pos=3
呈, neg=2, pos=1
告, neg=21, pos=2
呐, neg=2, pos=1
摔, neg=3, pos=1
瑕, neg=4, pos=5
呕, neg=13, pos=1
员, neg=2, pos=1
摘, neg=2, pos=1
呛, neg=2, pos=1
呜, neg=9, pos=1
瑟, neg=2, pos=1
摧, neg=2, pos=1
周, neg=3, pos=7
摩, neg=2, pos=1
葬, neg=6, pos=1
味, neg=20, pos=12
摸, neg=21, pos=1
呸, neg=2, pos=1
呻, neg=4, pos=1
呼, neg=6, pos=6
命, neg=35, pos=4
咂, neg=2, pos=1
璃, neg=2, pos=1
咆, neg=4, pos=1
针, neg=3, pos=1
咎, neg=5, pos=1
撑, neg=3, pos=1
咒, neg=13, pos=1
撒, neg=4, pos=1
撕, neg=12, pos=1
咕, neg=4, pos=1
蒙, neg=9, pos=1
钝, neg=11, pos=1
撞, neg=15, pos=1
撤, neg=5, pos=1
咧, neg=7, pos=1
钩, neg=2, pos=1
咬, neg=6, pos=1
撬, neg=3, pos=1
播, neg=3, pos=1
咯, neg=9, pos=1
钱, neg=12, pos=6
咳, neg=3, pos=1
钳, neg=2, pos=1
撵, neg=2, pos=1
咻, neg=3, pos=1
钻, neg=2, pos=1
咽, neg=11, pos=1
哀, neg=20, pos=2
品, neg=19, pos=12
铁, neg=2, pos=1
擂, neg=3, pos=1
哄, neg=11, pos=1
蓄, neg=2, pos=1
擅, neg=5, pos=2
哇, neg=6, pos=1
哈, neg=6, pos=5
哉, neg=2, pos=2
响, neg=8, pos=1
操, neg=12, pos=1
哎, neg=2, pos=1
哑, neg=5, pos=1
哗, neg=3, pos=1
瓜, neg=5, pos=1
铜, neg=3, pos=1
哝, neg=3, pos=1
哟, neg=2, pos=1
铤, neg=3, pos=1
哥, neg=5, pos=1
瓦, neg=3, pos=1
擦, neg=7, pos=1
哦, neg=2, pos=1
哩, neg=7, pos=1
蓬, neg=3, pos=2
哭, neg=20, pos=1
哮, neg=4, pos=1
铲, neg=2, pos=1
银, neg=3, pos=1
哼, neg=5, pos=1
哽, neg=2, pos=1
销, neg=4, pos=1
锁, neg=2, pos=1
唆, neg=3, pos=1
锈, neg=3, pos=1
唉, neg=5, pos=1
锐, neg=7, pos=4
唐, neg=7, pos=1
蔑, neg=12, pos=1
蔓, neg=7, pos=1
甘, neg=10, pos=9
错, neg=32, pos=5
生, neg=57, pos=22
唠, neg=14, pos=1
锢, neg=2, pos=1
锥, neg=2, pos=1
用, neg=64, pos=23
甩, neg=14, pos=1
攫, neg=2, pos=1
支, neg=5, pos=3
锯, neg=2, pos=1
唯, neg=5, pos=3
田, neg=3, pos=1
由, neg=9, pos=8
唱, neg=3, pos=1
申, neg=5, pos=1
电, neg=4, pos=1
收, neg=8, pos=2
男, neg=8, pos=1
唷, neg=2, pos=1
改, neg=9, pos=8
锺, neg=2, pos=7
攻, neg=11, pos=2
蔽, neg=9, pos=1
放, neg=31, pos=7
唾, neg=4, pos=1
政, neg=11, pos=1
故, neg=13, pos=1
商, neg=3, pos=1
镇, neg=2, pos=1
效, neg=15, pos=11
啊, neg=6, pos=1
敌, neg=17, pos=3
界, neg=4, pos=1
救, neg=12, pos=1
啕, neg=2, pos=1
留, neg=13, pos=8
教, neg=14, pos=5
畜, neg=6, pos=1
啜, neg=4, pos=1
敢, neg=10, pos=5
散, neg=16, pos=2
略, neg=7, pos=1
啥, neg=7, pos=1
敦, neg=2, pos=1
啦, neg=4, pos=1
啪, neg=9, pos=1
啬, neg=5, pos=1
数, neg=6, pos=1
敲, neg=4, pos=1
啷, neg=2, pos=1
啸, neg=3, pos=1
畸, neg=7, pos=1
啼, neg=2, pos=1
长, neg=19, pos=9
喀, neg=4, pos=1
喃, neg=9, pos=1
薄, neg=15, pos=1
文, neg=3, pos=7
喊, neg=11, pos=1
喋, neg=7, pos=1
疏, neg=9, pos=1
疑, neg=46, pos=7
斑, neg=5, pos=1
斗, neg=30, pos=4
疗, neg=3, pos=2
料, neg=8, pos=2
疙, neg=3, pos=1
疚, neg=4, pos=1
斜, neg=3, pos=1
疝, neg=3, pos=1
喝, neg=4, pos=2
疡, neg=2, pos=1
疤, neg=4, pos=1
斥, neg=13, pos=1
喧, neg=13, pos=1
斩, neg=2, pos=1
薪, neg=2, pos=2
疫, neg=2, pos=1
断, neg=35, pos=7
疮, neg=4, pos=1
斯, neg=9, pos=1
疯, neg=15, pos=2
疲, neg=20, pos=2
疵, neg=4, pos=3
喵, neg=3, pos=1
喷, neg=7, pos=1
疹, neg=2, pos=1
喻, neg=2, pos=1
疼, neg=8, pos=3
於, neg=31, pos=18
施, neg=4, pos=5
疾, neg=12, pos=1
旁, neg=4, pos=1
病, neg=41, pos=1
症, neg=4, pos=1
痉, neg=3, pos=1
藉, neg=6, pos=1
藏, neg=11, pos=1
族, neg=2, pos=5
藐, neg=2, pos=1
嗒, neg=3, pos=1
痒, neg=7, pos=1
痔, neg=3, pos=1
嗔, neg=2, pos=1
痕, neg=11, pos=1
痛, neg=67, pos=3
嗜, neg=5, pos=2
嗟, neg=2, pos=1
无, neg=253, pos=77
嗤, neg=2, pos=1
日, neg=9, pos=3
旦, neg=2, pos=1
旧, neg=11, pos=1
门, neg=7, pos=3
早, neg=3, pos=1
痪, neg=2, pos=1
闪, neg=3, pos=2
嗬, neg=2, pos=5
闭, neg=4, pos=1
问, neg=20, pos=6
闯, neg=3, pos=1
痰, neg=3, pos=1
旱, neg=2, pos=1
闲, neg=18, pos=1
痴, neg=11, pos=6
间, neg=8, pos=2
时, neg=15, pos=9
闷, neg=29, pos=1
旷, neg=3, pos=2
闹, neg=37, pos=6
痹, neg=2, pos=1
闻, neg=7, pos=1
痼, neg=2, pos=1
阀, neg=2, pos=1
嘀, neg=2, pos=1
昂, neg=4, pos=2
嘈, neg=7, pos=1
昏, neg=17, pos=1
易, neg=37, pos=17
嘘, neg=3, pos=1
队, neg=6, pos=1
星, neg=2, pos=1
瘟, neg=2, pos=1
瘠, neg=3, pos=1
瘤, neg=3, pos=1
瘦, neg=4, pos=1
昧, neg=7, pos=1
瘩, neg=3, pos=1
瘫, neg=2, pos=1
昭, neg=5, pos=1
是, neg=24, pos=1
嘱, neg=2, pos=2
阱, neg=4, pos=1
嘲, neg=15, pos=1
防, neg=5, pos=5
阳, neg=2, pos=1
阴, neg=34, pos=1
嘴, neg=12, pos=1
瘴, neg=2, pos=1
阵, neg=4, pos=1
嘶, neg=4, pos=1
阶, neg=2, pos=1
瘸, neg=2, pos=1
阻, neg=15, pos=1
瘾, neg=6, pos=2
显, neg=2, pos=8
阿, neg=2, pos=1
晃, neg=3, pos=1
际, neg=5, pos=8
陈, neg=8, pos=1
陋, neg=7, pos=1
陌, neg=3, pos=1
癌, neg=2, pos=1
降, neg=15, pos=1
噎, neg=4, pos=1
虎, neg=3, pos=1
虏, neg=2, pos=1
限, neg=10, pos=1
虐, neg=7, pos=1
虑, neg=16, pos=11
晒, neg=2, pos=1
晕, neg=9, pos=1
噘, neg=4, pos=1
虚, neg=23, pos=2
陡, neg=4, pos=1
除, neg=16, pos=11
器, neg=8, pos=3
陨, neg=2, pos=1
险, neg=32, pos=1
噪, neg=5, pos=3
陪, neg=2, pos=1
